Time (Hour-Ending),Date,"Wind Output, % of Installed"
01-01-2022 01:00:00,Jan-01,35.31
01-01-2022 02:00:00,Jan-01,37.7
01-01-2022 03:00:00,Jan-01,42.04
01-01-2022 04:00:00,Jan-01,48.18
01-01-2022 05:00:00,Jan-01,53.66
01-01-2022 06:00:00,Jan-01,53.15
01-01-2022 07:00:00,Jan-01,54.25
01-01-2022 08:00:00,Jan-01,53.57
01-01-2022 09:00:00,Jan-01,50.62
01-01-2022 10:00:00,Jan-01,49.5
01-01-2022 11:00:00,Jan-01,51.77
01-01-2022 12:00:00,Jan-01,52.03
01-01-2022 13:00:00,Jan-01,47.81
01-01-2022 14:00:00,Jan-01,43.48
01-01-2022 15:00:00,Jan-01,41.08
01-01-2022 16:00:00,Jan-01,41.98
01-01-2022 17:00:00,Jan-01,49.43
01-01-2022 18:00:00,Jan-01,55.0
01-01-2022 19:00:00,Jan-01,58.11
01-01-2022 20:00:00,Jan-01,59.82
01-01-2022 21:00:00,Jan-01,61.04
01-01-2022 22:00:00,Jan-01,62.56
01-01-2022 23:00:00,Jan-01,63.68
01-02-2022 00:00:00,Jan-01,63.06
01-02-2022 01:00:00,Jan-02,60.54
01-02-2022 02:00:00,Jan-02,58.37
01-02-2022 03:00:00,Jan-02,58.43
01-02-2022 04:00:00,Jan-02,59.28
01-02-2022 05:00:00,Jan-02,60.71
01-02-2022 06:00:00,Jan-02,59.4
01-02-2022 07:00:00,Jan-02,58.35
01-02-2022 08:00:00,Jan-02,56.66
01-02-2022 09:00:00,Jan-02,52.56
01-02-2022 10:00:00,Jan-02,46.17
01-02-2022 11:00:00,Jan-02,38.04
01-02-2022 12:00:00,Jan-02,31.87
01-02-2022 13:00:00,Jan-02,30.73
01-02-2022 14:00:00,Jan-02,28.15
01-02-2022 15:00:00,Jan-02,25.4
01-02-2022 16:00:00,Jan-02,22.27
01-02-2022 17:00:00,Jan-02,18.07
01-02-2022 18:00:00,Jan-02,14.87
01-02-2022 19:00:00,Jan-02,14.26
01-02-2022 20:00:00,Jan-02,14.09
01-02-2022 21:00:00,Jan-02,14.42
01-02-2022 22:00:00,Jan-02,14.56
01-02-2022 23:00:00,Jan-02,14.36
01-03-2022 00:00:00,Jan-02,14.19
01-03-2022 01:00:00,Jan-03,14.36
01-03-2022 02:00:00,Jan-03,14.66
01-03-2022 03:00:00,Jan-03,15.01
01-03-2022 04:00:00,Jan-03,15.49
01-03-2022 05:00:00,Jan-03,16.6
01-03-2022 06:00:00,Jan-03,18.52
01-03-2022 07:00:00,Jan-03,19.2
01-03-2022 08:00:00,Jan-03,20.57
01-03-2022 09:00:00,Jan-03,22.35
01-03-2022 10:00:00,Jan-03,16.83
01-03-2022 11:00:00,Jan-03,12.36
01-03-2022 12:00:00,Jan-03,15.14
01-03-2022 13:00:00,Jan-03,19.04
01-03-2022 14:00:00,Jan-03,21.29
01-03-2022 15:00:00,Jan-03,23.56
01-03-2022 16:00:00,Jan-03,26.86
01-03-2022 17:00:00,Jan-03,28.03
01-03-2022 18:00:00,Jan-03,28.18
01-03-2022 19:00:00,Jan-03,38.98
01-03-2022 20:00:00,Jan-03,51.91
01-03-2022 21:00:00,Jan-03,60.15
01-03-2022 22:00:00,Jan-03,60.64
01-03-2022 23:00:00,Jan-03,60.47
01-04-2022 00:00:00,Jan-03,60.32
01-04-2022 01:00:00,Jan-04,59.89
01-04-2022 02:00:00,Jan-04,59.19
01-04-2022 03:00:00,Jan-04,57.57
01-04-2022 04:00:00,Jan-04,56.38
01-04-2022 05:00:00,Jan-04,56.62
01-04-2022 06:00:00,Jan-04,58.3
01-04-2022 07:00:00,Jan-04,57.94
01-04-2022 08:00:00,Jan-04,57.19
01-04-2022 09:00:00,Jan-04,54.66
01-04-2022 10:00:00,Jan-04,50.12
01-04-2022 11:00:00,Jan-04,49.45
01-04-2022 12:00:00,Jan-04,52.67
01-04-2022 13:00:00,Jan-04,53.61
01-04-2022 14:00:00,Jan-04,52.98
01-04-2022 15:00:00,Jan-04,51.6
01-04-2022 16:00:00,Jan-04,49.87
01-04-2022 17:00:00,Jan-04,45.42
01-04-2022 18:00:00,Jan-04,40.92
01-04-2022 19:00:00,Jan-04,43.16
01-04-2022 20:00:00,Jan-04,50.11
01-04-2022 21:00:00,Jan-04,52.33
01-04-2022 22:00:00,Jan-04,52.09
01-04-2022 23:00:00,Jan-04,51.08
01-05-2022 00:00:00,Jan-04,47.09
01-05-2022 01:00:00,Jan-05,44.46
01-05-2022 02:00:00,Jan-05,43.21
01-05-2022 03:00:00,Jan-05,42.82
01-05-2022 04:00:00,Jan-05,47.86
01-05-2022 05:00:00,Jan-05,50.78
01-05-2022 06:00:00,Jan-05,52.21
01-05-2022 07:00:00,Jan-05,53.25
01-05-2022 08:00:00,Jan-05,53.67
01-05-2022 09:00:00,Jan-05,48.47
01-05-2022 10:00:00,Jan-05,39.49
01-05-2022 11:00:00,Jan-05,32.13
01-05-2022 12:00:00,Jan-05,22.28
01-05-2022 13:00:00,Jan-05,14.34
01-05-2022 14:00:00,Jan-05,9.84
01-05-2022 15:00:00,Jan-05,9.06
01-05-2022 16:00:00,Jan-05,9.59
01-05-2022 17:00:00,Jan-05,12.19
01-05-2022 18:00:00,Jan-05,13.3
01-05-2022 19:00:00,Jan-05,16.46
01-05-2022 20:00:00,Jan-05,19.06
01-05-2022 21:00:00,Jan-05,23.18
01-05-2022 22:00:00,Jan-05,28.0
01-05-2022 23:00:00,Jan-05,34.72
01-06-2022 00:00:00,Jan-05,41.69
01-06-2022 01:00:00,Jan-06,43.33
01-06-2022 02:00:00,Jan-06,44.91
01-06-2022 03:00:00,Jan-06,46.33
01-06-2022 04:00:00,Jan-06,43.69
01-06-2022 05:00:00,Jan-06,48.46
